Demanda,Fecha
925838.099,2011-01-01
896370.497,2011-02-01
872249.28,2011-03-01
739283.981,2011-04-01
768988.409,2011-05-01
840966.746,2011-06-01
825209.308,2011-07-01
804908.59,2011-08-01
819033.286,2011-09-01
764644.594,2011-10-01
799132.682,2011-11-01
837406.078,2011-12-01
863659.895,2012-01-01
916018.218,2012-02-01
808374.954,2012-03-01
762996.069,2012-04-01
747942.746,2012-05-01
841101.708,2012-06-01
817561.396,2012-07-01
819576.935,2012-08-01
769517.468,2012-09-01
743541.595,2012-10-01
805332.338,2012-11-01
842940.982,2012-12-01
847769.301,2013-01-01
848126.626,2013-02-01
830604.427,2013-03-01
750716.239,2013-04-01
708851.761,2013-05-01
740916.973,2013-06-01
803366.851,2013-07-01
778536.838,2013-08-01
757056.398,2013-09-01
746056.552,2013-10-01
841017.655,2013-11-01
826938.239,2013-12-01
823668.632,2014-01-01
837913.449,2014-02-01
782465.15,2014-03-01
746006.295,2014-04-01
711151.12,2014-05-01
763738.696,2014-06-01
800559.18,2014-07-01
784172.839,2014-08-01
803363.027,2014-09-01
717561.452,2014-10-01
762040.183,2014-11-01
805466.642,2014-12-01
858827.193,2015-01-01
865557.073,2015-02-01
788329.454,2015-03-01
721531.788,2015-04-01
759692.327,2015-05-01
825913.225,2015-06-01
866486.534,2015-07-01
801217.924,2015-08-01
781600.481,2015-09-01
721391.469,2015-10-01
792667.153,2015-11-01
791699.766,2015-12-01
817453.121,2016-01-01
823891.322,2016-02-01
813456.131,2016-03-01
760497.377,2016-04-01
720107.983,2016-05-01
785078.65,2016-06-01
823543.175,2016-07-01
804104.371,2016-08-01
866776.887,2016-09-01
739209.623,2016-10-01
790572.445,2016-11-01
810406.693,2016-12-01
888001.932,2017-01-01
810352.774,2017-02-01
777112.401,2017-03-01
736488.013,2017-04-01
753708.067,2017-05-01
855949.555,2017-06-01
864108.624,2017-07-01
844863.393,2017-08-01
795949.088,2017-09-01
754739.627,2017-10-01
820643.977,2017-11-01
848162.295,2017-12-01
854745.17,2018-01-01
880070.875,2018-02-01
830948.036,2018-03-01
792550.109,2018-04-01
728576.654,2018-05-01
803400.563,2018-06-01
822681.663,2018-07-01
858593.632,2018-08-01
800273.143,2018-09-01
776331.825,2018-10-01
800277.925,2018-11-01
822742.049,2018-12-01
867181.886,2019-01-01
827865.952,2019-02-01
767457.592,2019-03-01
762514.952,2019-04-01
723789.614,2019-05-01
821152.543,2019-06-01
860191.27,2019-07-01
795638.987,2019-08-01
802739.777,2019-09-01
741441.646,2019-10-01
821576.303,2019-11-01
825121.76,2019-12-01
862132.604,2020-01-01
772488.589,2020-02-01
769321.188,2020-03-01
608880.705,2020-04-01
644707.726,2020-05-01
752302.735,2020-06-01
825275.946,2020-07-01
797890.754,2020-08-01
751556.717,2020-09-01
715705.336,2020-10-01
766690.677,2020-11-01
807771.695,2020-12-01
875118.684,2021-01-01
789357.66,2021-02-01
758352.519,2021-03-01
722238.709,2021-04-01
698169.314,2021-05-01
759440.415,2021-06-01
807661.031,2021-07-01
762760.446,2021-08-01
778331.589,2021-09-01
695359.374,2021-10-01
788505.669,2021-11-01
800194.435,2021-12-01
813885.767,2022-01-01
774260.763,2022-02-01
743386.909,2022-03-01
762729.139,2022-04-01
716668.676,2022-05-01
816499.073,2022-06-01
836727.903,2022-07-01
800030.828,2022-08-01
746416.15,2022-09-01
683996.794,2022-10-01
724740.32,2022-11-01
732934.204,2022-12-01
821055.295,2023-01-01
803175.498,2023-02-01
791155.923,2023-03-01
662633.383,2023-04-01
662853.882,2023-05-01
772762.89,2023-06-01
834382.753,2023-07-01
800908.724,2023-08-01
712298.126,2023-09-01
693331.667,2023-10-01
731976.345,2023-11-01
774527.052,2023-12-01
